policy,episode,steps,total_reward,positive_reward_steps,terminated,truncated,final_obs_0,final_obs_1,final_obs_2,final_obs_3,final_obs_4,final_obs_5,final_obs_6,final_obs_7,final_obs_8,final_obs_9,final_obs_10,final_obs_11,final_obs_12,final_obs_13,final_obs_14,final_obs_15,final_obs_16,final_obs_17,final_obs_18,final_obs_19,final_obs_20,final_obs_21,final_obs_22,final_obs_23,final_obs_24,final_obs_25,final_obs_26,final_obs_27,final_obs_28,final_obs_29,final_obs_30,final_obs_31,final_obs_32,final_obs_33,final_obs_34,final_obs_35,final_obs_36,final_obs_37,final_obs_38,final_obs_39,final_obs_40,final_obs_41,final_obs_42,final_obs_43
trained,0,116,24.322777479693613,60,True,True,0.5124951647907979,0.003,0.7238782820795732,0.5564831900969333,11.448186484229046,11.697789436261944,0.0507656081502913,0.5542629252326432,11.69419553898144,11.928625239247436,0.17077520031199078,0.5498608345575655,11.768287295601306,11.941156251224795,0.20876862927273365,0.5741234827245278,11.800009817323637,11.945072323348674,0.7868846592115455,0.5572027628848474,11.700488352797983,11.955879657770263,0.4490426763311459,0.5579945760328279,11.75592912149453,12.014878843366398,0.14257885138282578,0.576804467038777,12.022809283358171,12.033287118770556,0.9820957496120475,0.5756535618481454,12.03053888419283,12.136045105111068,0.03461643107414181,0.5662591115618414,12.203955524840882,12.458372713931725,0.4025748925392486,0.575848340897848,12.40320626490559,12.54077092027333,-3.157719298245614,-3.157719298245614
trained,1,97,13.377413828885633,37,True,True,1.0,0.00185,0.23944403139982395,0.7980488416121139,2.066128961011673,2.3365139203794265,0.3976135012217159,0.7725822480521727,2.5006893908533554,2.573307241736038,0.5628700085336763,0.7861766128974376,2.6223029203857005,2.839763998880735,0.6766610262708798,0.8123625580849808,3.198709148394846,3.4666636126802888,0.3867169064348419,0.8049744914174636,5.1942508399772,5.450461799050087,0.5860924399821505,0.8015145172877701,5.9089627240855895,6.0,0.1722396764340416,0.8143323208273008,5.95376281519623,6.0,0.21319149626957723,0.817475690416408,5.938921459027527,6.0,0.1279563638452068,0.8264362211236336,5.842188195792127,6.0,0.9162538761312821,0.8122792973518689,5.900734083446841,6.0,-3.157719298245614,-3.157719298245614
trained,2,130,26.232300021267722,65,True,True,0.928870167561759,0.00325,0.0171283766903938,1.52317151849743,1.9920038163067875,2.241945292889747,0.7013490871456198,1.5309433660625202,2.2113901143658827,2.4841392942317664,0.18007127824467917,1.6052446683568786,3.375927740543557,3.650044947675815,0.03505415733512196,1.6191425650669553,3.6229721004478534,3.89601087956756,0.8531271903494227,1.7405513885778539,5.584437169280936,5.852010308684378,0.9828106538955073,1.7420297320967457,5.603883149955934,5.868588649290565,0.20352602266702624,1.7526083035842004,6.16770231671213,6.411490947145649,0.1688420440668088,1.7734050170821514,6.285681964619932,6.455097480644169,0.9137997178114017,1.77576884302225,6.375534074061058,6.545199441487639,0.012251114089638748,1.7739979535361439,6.369622820893298,6.5790675786326025,0.7421052631578947,0.11578947368421053
trained,3,106,14.667397045953567,41,True,True,0.8049436797479373,0.00205,0.6719732804457087,7.887759051085053e-05,0.2563515336331693,0.536108888540548,0.9736315364198181,0.09690989030812015,2.0976313708808085,2.372447388945123,0.8172734185742011,0.10138281048396587,2.2196489704035898,2.3731148095498185,0.298442169746995,0.09116384818529552,2.4314152086840113,2.5208882077477512,0.8609269264674575,0.08545528272952436,2.2620227770403654,2.5372996351815043,0.25398822454286396,0.07176689719302906,2.495979035431204,2.6194861903629136,0.530960143995877,0.07347691141397947,2.395511396251471,2.6654200720787413,0.46461840949882227,0.3460644373531791,7.034283465757799,7.297218091648065,0.9966224272653905,0.37261354974671346,7.389428224172455,7.46616254588395,0.6733977863368026,0.3654214176197081,7.227896142746395,7.5039173880553545,0.8,0.16842105263157894
trained,4,92,11.181531868073526,29,True,True,0.9556809275824671,0.00145,0.07353091928417355,1.1295574214692412,0.6228563246733393,0.868180103784883,0.2797512173607586,1.1223476731108408,0.8398144492748907,1.1048451507342785,0.4882823001406862,1.1028980756445776,1.0848575809550918,1.1946007031060193,0.6699705961261745,1.1398693031166507,1.1805913181113283,1.4272887836299681,0.33216603903395336,1.1812476931435365,2.0319270223935018,2.2010354719468888,0.39926023575799663,1.2622842741054716,3.2882612637674415,3.53729765905858,0.12405795229485606,1.2726862738017457,3.534656268722938,3.653915925115895,0.8214003395952264,1.2793702578458228,3.4121447837471472,3.6912459482451596,0.5634374029948971,1.298708091941688,3.608879857637973,3.774007485571031,0.7388686724354245,1.3084340753997976,3.7614732818614236,3.8141123851014953,0.8473684210526315,0.21052631578947367
trained,5,100,13.651368514244101,33,True,True,0.8621537357765077,0.00165,0.8164398458358786,1.198637038227434,2.941131633809346,2.9522587803796947,0.7580066326933527,1.3115986164549653,4.155829007563455,4.378380341303903,0.8127902463261744,1.319383460731287,4.224042610687369,4.4700694052281085,0.3128321710612092,1.3531450147373645,4.588685721143119,4.6824706627156045,0.782450957052261,1.349657042972265,4.631922466621533,4.8069941649515995,0.4132285452494565,1.4875254733067578,6.25155487540617,6.348955827566388,0.909261555789455,1.494085425706,6.285604163025576,6.447481661140979,0.9580341209137774,1.5131724219091862,6.4207298013176475,6.515881042925406,0.41841636129321,1.5128875699540596,6.4069359779291215,6.528770243963506,0.8634188211621125,1.507208578570789,6.310491430891343,6.554339157245231,0.8421052631578947,0.21578947368421053
trained,6,86,8.661733707621783,26,True,True,1.0,0.0013,0.7789148791193068,1.0389523588060512,20.364860017413847,20.40333343355873,0.425290937584033,1.0387924337009173,20.346136858586117,20.42745902077194,0.9589899285536191,1.0424598121293078,20.27068080954102,20.454121270808756,0.06547885993511426,1.044746054945141,20.205834336751746,20.4691366356339,0.268284841896985,1.0447791096092007,20.208311675242985,20.469575996811557,0.5521099034133787,1.0447093114035688,20.208162379249796,20.471298461040217,0.3936894456813689,1.0438595019232961,20.219518029662893,20.47888767796457,0.17513367668759594,1.0372640696943576,20.330428657095702,20.481694145009243,0.11558076332754963,1.0424806711575583,20.233848171031106,20.495172226522893,0.6469264076624893,1.0409778535098009,20.245872377456603,20.51234504699006,0.3684210526315789,0.7263157894736842
trained,7,87,7.282453454983816,24,True,True,0.9337093890021876,0.0012,0.454503294094595,0.35968187769344745,-0.1623019892280475,0.10785927469205489,0.19464244236018058,0.1491117583453595,-0.021786167439301306,0.24148579318715443,0.09619303189138428,0.41356937274985883,-0.0938684809409339,0.09302903032739171,0.9738461396662688,0.21257256638362348,0.052137182301473024,0.1628649750889114,0.7209732510028907,0.3145066636184976,-0.005934667740208776,0.1737911500901949,0.9634607777477534,0.10684031256879321,-0.029375507193775168,0.24075816358655477,0.16695316514607406,0.10740758614370814,-0.0019899025868532288,0.26913340224850496,0.4998394455452959,0.34838820370217016,0.14702550526541017,0.23059765535090265,0.356201326455151,0.17507394642167415,0.06127405615610769,0.23411394269393593,0.8353902218956722,0.24208190412386787,0.16919145489631773,0.23509561025389605,0.4,0.7263157894736842
trained,8,86,8.626721338687878,26,True,True,1.0,0.0013,0.34005466970948905,0.2769127192352013,0.6762354961720485,0.9309932123252292,0.4121682717133536,0.13618970033513253,3.1440724984840682,3.3953108060108814,0.8026471248043254,0.10193278838187879,3.473015861518543,3.714424311121171,0.925941427572544,0.10497165482110267,3.523982541096787,3.766574076043859,0.08308806464193741,0.09265335975143525,3.5654767674567607,3.7889707896276135,0.9856139280053802,0.10069572920714451,3.5747945304602156,3.8172184765983546,0.5204505253791311,0.08036074538699685,3.70260086347543,3.8359408765731495,0.4721135747660068,0.07995582768705417,4.021883686368189,4.15281602716208,0.10590371808201515,0.04489447663086248,4.137299778518961,4.325350202270929,0.7340156102738912,0.05610366702137022,4.147614100441375,4.400449927125385,0.3105263157894737,0.6736842105263158
trained,9,93,11.172823173770936,33,True,True,0.9774997152244911,0.00165,0.03083923026269242,0.2253543901607792,0.9948631276168332,1.2518669298844542,0.45962163622075125,0.19704187521327035,1.7424277228982463,1.9103058342337682,0.2978837851912388,0.09337046810700034,3.153342540985432,3.417673277983146,0.6081204665285208,0.013374701977100088,4.310582309192481,4.548053119996767,0.34754675844992267,0.03134044234857015,4.570647888313482,4.697941690406648,0.4218551002872898,0.027523969035608453,4.440502998962353,4.707020532952592,0.966618465613407,0.05385832368050596,4.81635412022178,4.940877679902514,0.19101106931110767,0.05048205836301763,4.688741221029013,4.962453682944361,0.2843429577069251,0.07282446351545734,4.982945271972252,5.185304053088087,0.3627691361808171,0.0806890949672246,5.099595334692142,5.235463711015824,0.968421052631579,0.3105263157894737
trained,10,128,19.151110254151583,51,True,True,0.5714590436260886,0.00255,0.4842114597950288,0.0003095837796035106,0.1730557160540775,0.42303785093554325,0.04915998683634093,0.2073400972211215,0.3576632100469093,0.5214042817902494,0.8541849192347993,0.22525462875293967,1.0445481123327165,1.1873878075157458,0.8672145076937573,0.5705541984798261,9.267388392568659,9.308801746021805,0.12829568324411822,0.5922632548884799,9.380854230209165,9.581150602076983,0.7832585599977153,0.596565861927395,9.420821355940848,9.6237370845443,0.15195784217287334,0.6732055532455078,10.152838557837446,10.357621181011055,0.39931831334206547,0.6740547551170671,10.1431759101653,10.39587115070568,0.1970563929100474,0.698645918799348,10.395252672123922,10.60189738536809,0.23652203661187443,0.7093891703179007,10.477396262004198,10.728558512789386,0.4368421052631579,0.8052631578947368
trained,11,83,3.5438227400651523,15,True,True,0.6181386683432389,0.00075,0.3878816624942929,0.5076138804986918,-0.04094308053947316,0.2262501169566167,0.6763321535616549,0.01103501883906667,1.1128808845795963,1.3261187519092223,0.2378187962573619,3.204388684448631e-05,1.4585502035200018,1.6622645854326281,0.07910241833837384,0.0013738292950671496,1.4873588118420715,1.6880425339586145,0.696861866951831,0.010980065050417457,1.5748513630639598,1.7073426514158927,0.8130675068690985,0.019271334706169544,1.7853142442499423,1.8117230712719417,0.9643749265026689,0.014668579810247547,1.7194578623121317,1.8602438223377007,0.6124311187770142,0.012271450556116309,1.6909447515314242,1.8779459514094925,0.5202796980093968,0.9655300196513498,11.445097641100316,11.708005225819361,0.1971727881114549,0.9701073900278534,11.55274005672236,11.727817801582459,0.7,0.9105263157894737
trained,12,106,10.247001678528719,36,True,True,0.5989017463801838,0.0018,0.7660448342712894,1.1511686325795247e-05,7.471222264833644,7.710966139124551,0.7587790090164852,0.039199662691887946,7.863520926569242,7.9811762056015745,0.48179469671057984,0.18910572049979107,9.288180139542444,9.497321320938257,0.9063876970043145,0.6801392084290718,18.79501847189326,18.898140369068702,0.4794658505610718,0.5474650306317911,31.250911223035278,31.430827114339177,0.6105679459481113,0.5629542626174963,31.31498120086806,31.553378502574425,0.8713464792379251,0.24631987899928276,43.82114143031859,43.85783531308105,0.189834016931272,0.24567430330581752,43.87389420637804,43.93637348224587,0.1543534117483788,0.24377635412745113,43.85609211933438,43.995209950841755,0.8348090151905976,0.23193498664910137,43.97400755226547,44.000000000000014,0.23684210526315788,0.5789473684210527
trained,13,96,9.647917022151777,35,True,True,0.7901868408539313,0.00175,0.04010194959713509,1.0188914759041063,9.503017839487995,9.74584643066885,0.6449352947797812,0.5636979831347034,13.844445156946167,13.994431632346313,0.4146023454018608,0.4505058633475134,15.02974563588426,15.146983661436158,0.43256137979098663,0.44658456731153034,15.072943249041927,15.19073548423404,0.48216004704048243,0.44726899276562576,15.041332839194038,15.24592496478382,0.04010194959713509,1.0188914759041063,27.238710796868812,27.39925098796021,0.15500965643079256,0.9810624395978189,27.545707768333887,27.76013953645004,0.045360340560172685,0.9396470009492082,27.91999401512095,28.15831497017544,0.6449352947797812,0.5636979831347034,31.4952786478716,31.7261527255145,0.64348136678777,0.4502756484703169,32.64599701065916,32.871453623174084,0.5842105263157895,0.9578947368421052
trained,14,113,19.630979739488488,52,True,True,0.7447878335554917,0.0026,0.225801423607074,0.7556531258438528,-0.2111771135933547,0.001298652462452689,0.0846383943057718,0.15202512175828495,3.2406749998707163,3.4840786701461184,0.8280140038246012,0.1572847083060412,3.296218116718919,3.5078203296678234,0.9252426575241626,0.15322622279913065,3.3424307922026615,3.556416713148137,0.2703794907310685,0.15261769761515587,3.3968403519171018,3.556442172119714,0.807641234957761,0.15176940950729126,3.325432093419743,3.571971442345615,0.6140647520595117,0.14792862073370294,3.3122001792108375,3.5929884978193147,0.3045100862061787,0.14687683726424644,3.3589565098107657,3.6242013138983746,0.11178789304314762,0.04607726809426277,4.962017132934258,5.17427397159241,0.5357061825082882,0.7847578029703988,19.880123927734324,19.92168438108645,0.3894736842105263,0.7263157894736842
trained,15,130,22.703310150745843,53,True,True,0.7748122450710135,0.00265,0.783303087548825,1.8809233286688731,3.1329677156604037,3.3047282309306563,0.6444163191511706,1.8682304490985278,3.1345488593859288,3.379013007549923,0.683658333560427,1.8012083715867664,5.439993100521157,5.520572217545414,0.0947830070437109,1.8015616104228525,5.418852560177462,5.619674532815346,0.28970749563978504,1.6540770568955125,6.957671303425584,7.173839068753186,0.7348688074290096,1.632400628375964,7.206118282720187,7.312515032218277,0.6329504364660405,1.6308937385588442,7.220920918917363,7.3272245049537865,0.43193771533262215,1.6366384642633258,7.12871345849367,7.341873226595296,0.20980753262233676,1.6362868466105502,7.1301575526677095,7.356741270542637,0.15953505643107302,1.6342678119337595,7.150383252172481,7.371813296167347,0.6789473684210526,0.05789473684210526
trained,16,76,6.994837728030528,21,True,True,1.0,0.00105,0.11348078662333894,0.17120132291686754,1.7248397326820728,1.7842688195818481,0.6784650121264361,0.18851928840248702,1.6072230809780497,1.8303444938835067,0.6714257375001657,0.17380971490581723,1.73910639508517,1.894526965562145,0.32639401035196025,0.17802497005275222,1.7348125145633944,1.9317123193746617,0.8247070928302888,0.38025734889642154,17.90351868421043,17.921828742766458,0.11348078662333894,0.17120132291686754,19.393941910862655,19.47733254566978,0.6784650121264361,0.18851928840248702,19.28591760283489,19.513426309037616,0.6714257375001657,0.17380971490581723,19.41545378498733,19.58035568226866,0.32639401035196025,0.17802497005275222,19.412642814547254,19.615989698770292,0.8247070928302888,0.38025734889642154,35.55790682624406,35.623978676076874,0.16842105263157894,0.5368421052631579
trained,17,68,2.2353390470394414,6,True,True,1.0,0.0003,0.3729507290396695,1.0156793687435308,1.8993079758340778,2.1207141699149847,0.5746633836607331,1.0022027618958835,1.9935723367276417,2.258655548879845,0.5783023669518681,0.9869045097823117,1.9705578501778533,2.247938372110839,0.930071790576978,0.968209755682436,2.2955907587432254,2.517317437775285,0.5539496453759631,1.0154889001952283,2.3739745968063533,2.56756577072174,0.263535073452954,0.9768985987425135,2.3094504593963574,2.568411325487699,0.16959270126801673,1.0119156368994207,2.43521980820043,2.650758312963335,0.3948383148420106,0.9685793934846869,2.450934926365868,2.6672143166671596,0.9027945371776104,0.9804400274936462,2.454081499231785,2.721338259305412,0.8159137116689021,0.9609407714007557,2.9844131636792492,3.028632764119211,-3.157719298245614,-3.157719298245614
trained,18,94,14.439707055862161,36,True,True,1.0,0.0018,0.8207751102983416,1.235960095502781,3.6259211819443227,3.7632932986813588,0.6428474813403434,1.226376457424842,3.5887132899195664,3.834425858908592,0.6154208750425962,1.2293798505901752,4.047891508814986,4.241992653680815,0.972251457182426,1.171034870027474,7.609976894439205,7.859957824835535,0.7879150450793724,1.1783378044320465,7.581899536255211,7.8626952489308675,0.6283721679402151,1.176839035056487,7.842980718935081,8.114277813035539,0.7615839402683258,1.1721756683540598,8.087892309222104,8.35919016394883,0.7505551869279252,1.1682408628763254,8.132870226888128,8.413602115014534,0.9162216718035128,1.1641568011241776,8.152724120854327,8.426366518520117,0.9795278876926167,1.161249899289607,8.656819359963363,8.922597953053373,4.7894736842105265,4.8
